loc_prec,,county,,precinct,G18DGOV,G18LGOV,G18RGOV,G18DATG,G18RATG,G18LATG,G18DSecS,G18LSecS,G18RSecS,G18RTRES,G18LTRES
"Benton,Precinct 72",,Benton,,Precinct 72,66,6,283,79,268,6,75,6,272,289,62
"Benton,Precinct 73",,Benton,,Precinct 73,56,5,217,59,216,4,60,10,207,213,63
"Benton,Precinct 74",,Benton,,Precinct 74,248,18,539,269,509,25,274,16,513,576,214
"Benton,Precinct 75",,Benton,,Precinct 75,231,15,255,242,234,24,242,24,225,285,191
"Benton,Precinct 76",,Benton,,Precinct 76,174,10,510,206,460,24,206,20,463,513,164
"Benton,Precinct 77",,Benton,,Precinct 77,203,24,593,237,548,31,228,34,549,614,194
"Benton,Precinct 78",,Benton,,Precinct 78,159,12,448,172,425,20,180,21,411,444,164
"Benton,Precinct 79",,Benton,,Precinct 79,175,11,445,213,396,19,215,24,383,440,171
"Benton,Precinct 8",,Benton,,Precinct 8,202,16,633,204,616,24,210,17,617,676,156
"Benton,Precinct 80",,Benton,,Precinct 80,113,9,237,119,225,13,126,11,219,243,107
"Benton,Precinct 81",,Benton,,Precinct 81,186,30,493,194,488,25,199,22,480,520,172
"Benton,Precinct 82",,Benton,,Precinct 82,162,19,351,180,332,18,192,22,315,372,147
"Benton,Precinct 83",,Benton,,Precinct 83,229,14,331,227,315,24,247,23,299,357,193
"Benton,Precinct 84",,Benton,,Precinct 84,198,14,412,217,394,13,216,16,385,448,162
"Benton,Precinct 85",,Benton,,Precinct 85,97,9,449,107,438,12,116,16,424,453,100
"Benton,Precinct 86",,Benton,,Precinct 86,113,27,614,140,564,45,153,40,551,592,142
"Benton,Precinct 87",,Benton,,Precinct 87,95,11,380,110,363,11,103,15,365,379,100
"Benton,Precinct 88",,Benton,,Precinct 88,199,12,458,217,430,20,230,12,422,484,170
"Benton,Precinct 89",,Benton,,Precinct 89,207,18,263,208,263,13,214,17,252,309,163
"Benton,Precinct 9",,Benton,,Precinct 9,153,22,459,159,440,28,168,23,433,481,136
"Benton,Precinct 90",,Benton,,Precinct 90,189,20,259,199,246,20,199,19,250,277,176
"Benton,Precinct 91",,Benton,,Precinct 91,98,5,341,104,326,10,114,12,315,335,98
"Benton,Precinct 92",,Benton,,Precinct 92,341,15,261,345,245,25,350,29,235,295,302
"Benton,Precinct 93",,Benton,,Precinct 93,154,14,377,169,356,20,163,18,359,399,135
"Benton,Precinct 94",,Benton,,Precinct 94,166,11,312,185,285,16,189,13,284,312,158
"Benton,Precinct 95",,Benton,,Precinct 95,89,22,467,99,453,27,109,15,448,478,96
"Benton,Precinct 96",,Benton,,Precinct 96,124,17,561,138,547,14,140,20,535,576,114
"Benton,Precinct 97",,Benton,,Precinct 97,149,12,358,147,355,13,165,8,345,372,131
"Benton,Precinct 98",,Benton,,Precinct 98,52,2,179,52,173,7,54,8,166,181,39
"Benton,Precinct 99",,Benton,,Precinct 99,275,21,617,289,590,32,306,31,571,663,233
"Boone,District 1",,Boone,,District 1,216,37,634,233,617,34,232,35,614,679,189
"Boone,District 10",,Boone,,District 10,142,38,908,162,906,20,166,25,895,940,141
"Boone,District 11",,Boone,,District 11,102,17,633,116,617,18,120,14,618,641,99
"Boone,District 12",,Boone,,District 12,66,7,201,75,194,5,79,6,191,202,69
"Boone,District 2",,Boone,,District 2,343,33,1053,364,1033,31,383,30,1008,1137,269
"Boone,District 3",,Boone,,District 3,175,38,526,188,516,30,190,37,506,561,165
"Boone,District 4",,Boone,,District 4,194,26,818,227,793,14,243,25,768,858,165
"Boone,District 5",,Boone,,District 5,191,37,867,203,860,27,220,20,849,910,168
"Boone,District 6",,Boone,,District 6,120,35,859,138,851,20,141,25,844,883,116
"Boone,District 7",,Boone,,District 7,189,38,760,190,777,20,198,17,771,820,153
"Boone,District 8",,Boone,,District 8,275,42,948,264,960,32,289,22,949,1007,234
"Boone,District 9",,Boone,,District 9,195,39,821,194,817,39,219,34,800,843,199
"Bradley,Banks City",,Bradley,,Banks City,10,1,34,12,31,2,11,4,29,32,11
"Bradley,Banks Rural",,Bradley,,Banks Rural,29,8,72,37,73,1,36,2,72,75,25
"Bradley,Eagle Lake",,Bradley,,Eagle Lake,12,1,41,14,39,1,13,0,41,43,11
"Bradley,Hermitage City",,Bradley,,Hermitage City,23,0,41,25,41,2,24,1,41,43,21
"Bradley,Hermitage Rural",,Bradley,,Hermitage Rural,22,2,139,26,139,0,26,1,136,137,28
"Bradley,Jersey",,Bradley,,Jersey,31,2,53,34,45,7,34,1,50,46,27
"Bradley,Johnsville",,Bradley,,Johnsville,34,0,62,33,61,3,34,1,62,60,24
"Bradley,Marion",,Bradley,,Marion,3,0,43,3,42,1,3,2,41,40,6
"Bradley,North",,Bradley,,North,60,16,458,66,459,10,72,5,454,455,63
"Bradley,South",,Bradley,,South,28,8,232,33,231,4,42,5,219,227,38
"Bradley,Springhill",,Bradley,,Springhill,5,1,85,10,80,0,9,1,81,83,8
"Bradley,Ward 1",,Bradley,,Ward 1,224,13,143,249,119,20,250,14,118,142,195
"Bradley,Ward 2",,Bradley,,Ward 2,164,14,295,186,274,11,188,10,275,311,144
"Bradley,Ward 3",,Bradley,,Ward 3,223,14,208,251,189,7,246,14,184,214,200
"Calhoun,Chambersville",,Calhoun,,Chambersville,20,4,85,20,89,0,27,1,81,88,22
"Calhoun,Chambersville West",,Calhoun,,Chambersville West,3,0,18,4,17,0,6,0,15,17,4
"Calhoun,Champagnolle",,Calhoun,,Champagnolle,42,4,194,52,185,2,57,2,180,197,41
"Calhoun,Dr. Rhine Park",,Calhoun,,Dr. Rhine Park,1,1,22,3,20,1,5,1,18,21,3
"Calhoun,Hampton City",,Calhoun,,Hampton City,45,2,180,59,165,2,68,5,152,184,37
"Calhoun,Hampton Rural",,Calhoun,,Hampton Rural,0,0,3,0,3,0,0,0,3,3,0
"Calhoun,Hampton South City",,Calhoun,,Hampton South City,88,7,70,93,65,4,91,6,66,83,67
"Calhoun,Hampton South Rural",,Calhoun,,Hampton South Rural,1,0,15,0,15,0,0,0,15,15,0
"Calhoun,Harrell City",,Calhoun,,Harrell City,34,3,61,36,55,7,36,2,60,68,27
"Calhoun,Harrell Rural 7",,Calhoun,,Harrell Rural 7,5,0,10,4,11,0,4,0,11,12,3
"Calhoun,Harrell Rural 8",,Calhoun,,Harrell Rural 8,28,2,83,38,74,1,41,1,70,84,24
"Calhoun,Locust",,Calhoun,,Locust,41,4,142,45,135,7,45,8,133,152,29
"Calhoun,Locust North",,Calhoun,,Locust North,2,0,25,2,24,1,2,1,24,24,3
"Calhoun,Thornton City",,Calhoun,,Thornton City,56,0,63,64,54,0,65,0,54,68,46
"Calhoun,Thornton Rural",,Calhoun,,Thornton Rural,3,0,73,3,72,0,3,0,73,72,4
"Calhoun,Tinsman City",,Calhoun,,Tinsman City,7,1,15,7,14,2,8,1,14,18,5
"Calhoun,Tinsman Rural",,Calhoun,,Tinsman Rural,14,3,41,10,45,1,10,1,46,46,9
"Calhoun,Tinsman West",,Calhoun,,Tinsman West,8,1,76,8,76,3,8,2,77,76,10
