loc_prec,,county,,precinct,G18DGOV,G18LGOV,G18RGOV,G18DATG,G18RATG,G18LATG,G18DSecS,G18LSecS,G18RSecS,G18RTRES,G18LTRES
"Randolph,DALTON",,Randolph,,DALTON,11,3,80,16,75,2,22,18,455,526,96
"Randolph,DEMUN RURAL",,Randolph,,DEMUN RURAL,98,35,498,116,493,19,153,6,120,141,27
"Randolph,EAST ROANOKE",,Randolph,,EAST ROANOKE,34,10,130,36,132,6,45,1,81,91,22
"Randolph,ELEVEN POINT",,Randolph,,ELEVEN POINT,22,11,83,27,87,2,32,5,213,239,39
"Randolph,FOSTER",,Randolph,,FOSTER,46,16,222,49,223,10,60,0,36,43,14
"Randolph,INGRAM",,Randolph,,INGRAM,9,2,45,14,42,1,21,1,30,34,10
"Randolph,JACKSON",,Randolph,,JACKSON,15,3,27,14,29,2,14,4,132,146,52
"Randolph,JANES CREEK",,Randolph,,JANES CREEK,41,12,152,54,140,8,66,6,102,119,31
"Randolph,LITTLE BLACK",,Randolph,,LITTLE BLACK,27,5,119,33,109,7,39,2,38,47,17
"Randolph,O'KEAN",,Randolph,,O'KEAN,19,3,46,22,45,1,27,4,80,94,20
"Randolph,REYNO",,Randolph,,REYNO,21,9,85,29,82,4,31,8,167,197,39
"Randolph,RICHARDSON",,Randolph,,RICHARDSON,39,12,189,45,181,12,62,3,41,53,12
"Randolph,RUNNING LAKE",,Randolph,,RUNNING LAKE,15,4,50,21,47,0,22,16,250,303,51
"Randolph,SHILOH",,Randolph,,SHILOH,55,34,273,73,275,12,92,5,73,79,22
"Randolph,SILOAM",,Randolph,,SILOAM,23,7,73,26,75,2,24,1,66,69,8
"Randolph,SPRING RIVER",,Randolph,,SPRING RIVER,6,3,69,7,67,3,10,1,21,21,8
"Randolph,UNION",,Randolph,,UNION,9,3,17,6,21,2,7,36,369,444,139
"Randolph,WARD 1",,Randolph,,WARD 1,138,31,423,171,396,24,184,26,299,356,138
"Randolph,WARD 2",,Randolph,,WARD 2,111,34,360,153,314,28,172,29,545,636,169
"Randolph,WARD 3",,Randolph,,WARD 3,171,35,624,216,583,21,246,1,45,49,10
"Randolph,WARM SPRINGS",,Randolph,,WARM SPRINGS,11,1,51,15,45,2,15,4,66,71,14
"Randolph,WATER VALLEY",,Randolph,,WATER VALLEY,14,1,72,16,67,4,18,11,218,254,57
"Randolph,WEST ROANOKE",,Randolph,,WEST ROANOKE,52,21,242,64,241,11,83,1,16,23,1
"Randolph,WILEY",,Randolph,,WILEY,4,1,19,5,18,1,7,49,1289,1322,333
"Saline,Precinct 01",,Saline,,Precinct 01,297,43,1349,340,1299,42,344,27,1438,1573,314
"Saline,Precinct 02",,Saline,,Precinct 02,376,11,1576,451,1479,26,486,28,737,710,196
"Saline,Precinct 03",,Saline,,Precinct 03,131,25,758,155,743,17,146,36,617,666,316
"Saline,Precinct 04",,Saline,,Precinct 04,297,33,679,349,627,30,347,47,948,923,341
"Saline,Precinct 05",,Saline,,Precinct 05,263,43,995,299,948,52,302,34,1034,1093,362
"Saline,Precinct 06",,Saline,,Precinct 06,339,35,1119,394,1056,40,412,20,540,538,161
"Saline,Precinct 07",,Saline,,Precinct 07,131,16,568,147,546,19,149,2,221,225,39
"Saline,Precinct 08",,Saline,,Precinct 08,35,11,222,37,226,5,43,24,951,989,193
"Saline,Precinct 09",,Saline,,Precinct 09,193,35,971,218,941,36,216,27,676,675,164
"Saline,Precinct 10",,Saline,,Precinct 10,140,20,689,150,677,18,142,67,699,703,439
"Saline,Precinct 11",,Saline,,Precinct 11,382,57,742,426,703,52,406,19,396,367,209
"Saline,Precinct 12",,Saline,,Precinct 12,164,19,427,192,399,12,186,40,1216,1283,494
"Saline,Precinct 13",,Saline,,Precinct 13,488,52,1307,570,1226,36,572,43,741,770,391
"Saline,Precinct 14",,Saline,,Precinct 14,346,35,810,394,750,39,395,37,964,996,335
"Saline,Precinct 15",,Saline,,Precinct 15,326,32,1026,371,966,40,370,52,974,1016,247
"Saline,Precinct 16",,Saline,,Precinct 16,230,41,1023,252,1002,40,262,62,744,795,373
"Saline,Precinct 17",,Saline,,Precinct 17,310,55,846,362,786,58,392,4,56,84,104
"Saline,Precinct 18",,Saline,,Precinct 18,120,3,73,129,62,5,136,12,311,301,68
"Saline,Precinct 19",,Saline,,Precinct 19,44,8,321,57,310,8,53,13,915,984,189
"Saline,Precinct 20",,Saline,,Precinct 20,225,1,999,289,913,15,288,6,141,138,37
"Saline,Precinct 21",,Saline,,Precinct 21,31,5,142,34,140,4,31,28,635,680,269
"Saline,Precinct 22",,Saline,,Precinct 22,271,30,682,302,639,40,316,9,251,252,71
"Saline,Precinct 23",,Saline,,Precinct 23,63,7,257,66,257,3,66,42,848,883,269
"Saline,Precinct 24",,Saline,,Precinct 24,221,53,899,258,873,41,276,37,767,770,217
"Saline,Precinct 25",,Saline,,Precinct 25,177,33,802,221,758,31,206,35,398,481,502
"Saline,Precinct 26",,Saline,,Precinct 26,540,29,470,608,392,38,599,52,1311,1332,458
"Saline,Precinct 27",,Saline,,Precinct 27,421,40,1381,464,1336,35,464,12,441,408,131
"Saline,Precinct 28",,Saline,,Precinct 28,88,22,441,110,422,16,95,10,279,274,80
"Saline,Precinct 29",,Saline,,Precinct 29,59,9,295,75,282,5,72,4,170,161,58
"Saline,Precinct 30",,Saline,,Precinct 30,47,5,177,52,175,0,51,51,796,853,345
"Saline,Precinct 31",,Saline,,Precinct 31,323,51,858,366,814,49,376,19,572,556,166
"Saline,Precinct 32",,Saline,,Precinct 32,121,16,606,145,579,18,147,19,548,565,146
"Saline,Precinct 33",,Saline,,Precinct 33,142,25,566,170,531,29,160,21,203,232,221
"Saline,Precinct 34",,Saline,,Precinct 34,207,11,248,223,224,19,238,21,1179,1290,296
"Saline,Precinct 35",,Saline,,Precinct 35,341,21,1290,431,1195,22,437,27,502,536,262
"Saline,Precinct 36",,Saline,,Precinct 36,256,23,540,274,522,21,283,30,871,901,240
"Saline,Precinct 37",,Saline,,Precinct 37,254,24,894,278,860,31,264,43,813,855,285
"Saline,Precinct 38",,Saline,,Precinct 38,280,50,848,313,825,31,303,12,319,355,222
"Saline,Precinct 39",,Saline,,Precinct 39,232,14,345,259,317,13,256,38,893,941,388
"Saline,Precinct 40",,Saline,,Precinct 40,357,30,980,418,917,26,425,37,606,613,273
"Saline,Precinct 41",,Saline,,Precinct 41,226,38,644,271,601,34,261,29,852,836,253
"Saline,Precinct 42",,Saline,,Precinct 42,182,35,891,222,854,32,220,1,17,17,0
"Scott,BLACKFORK",,Scott,,BLACKFORK,0,0,18,0,17,1,0,1,43,44,8
"Scott,BLANSETT",,Scott,,BLANSETT,9,3,40,7,42,1,8,3,27,28,4
"Scott,BRAWLEY",,Scott,,BRAWLEY,3,2,27,5,26,1,2,2,21,23,13
"Scott,CAUTHRON/OLIVER",,Scott,,CAUTHRON/OLIVER,11,2,24,13,23,2,15,3,21,22,11
"Scott,CEDAR CREEK",,Scott,,CEDAR CREEK,14,2,21,12,20,5,13,3,71,71,7
"Scott,COAL/LAFAYETTE",,Scott,,COAL/LAFAYETTE,5,11,62,5,71,2,4,9,92,99,17
"Scott,DENTON",,Scott,,DENTON,7,5,104,14,97,5,15,7,206,220,24
"Scott,HICKMAN RURAL EAST",,Scott,,HICKMAN RURAL EAST,22,19,208,31,209,9,34,4,121,131,23
"Scott,HICKMAN RURAL WEST",,Scott,,HICKMAN RURAL WEST,23,11,125,30,118,7,32,6,201,223,35
"Scott,HICKMAN WARD 1",,Scott,,HICKMAN WARD 1,35,14,220,46,212,9,53,8,177,188,45
"Scott,HICKMAN WARD 2",,Scott,,HICKMAN WARD 2,33,9,196,42,187,7,50,12,177,198,48
"Scott,HICKMAN WARD 3",,Scott,,HICKMAN WARD 3,41,7,204,56,183,8,59,4,78,81,19
"Scott,HON",,Scott,,HON,14,7,80,14,77,9,18,3,58,62,7
"Scott,HUNT",,Scott,,HUNT,5,4,62,9,57,3,8,0,46,48,7
"Scott,JAMES",,Scott,,JAMES,10,3,43,12,40,3,10,2,37,40,2
"Scott,JONES/LITTLE TEXAS",,Scott,,JONES/LITTLE TEXAS,3,4,37,4,40,0,4,0,29,30,6
"Scott,KEENER",,Scott,,KEENER,11,0,29,10,30,0,11,2,30,30,4
"Scott,LAFAVE",,Scott,,LAFAVE,2,1,31,6,29,1,4,8,101,101,21
"Scott,LAMB",,Scott,,LAMB,18,4,105,21,102,4,16,8,164,162,43
"Scott,LEWIS WARD 1",,Scott,,LEWIS WARD 1,29,18,162,34,167,8,37,3,97,106,26
"Scott,LEWIS WARD 2",,Scott,,LEWIS WARD 2,24,2,110,29,103,3,33,2,91,95,8
"Scott,MILL CREEK",,Scott,,MILL CREEK,12,4,92,15,90,2,14,5,115,122,13
"Scott,MOUNT PLEASANT",,Scott,,MOUNT PLEASANT,16,7,116,16,114,8,17,3,78,85,13
"Scott,MOUNTAIN",,Scott,,MOUNTAIN,17,5,78,17,80,4,20,0,45,49,11
"Scott,PARKS",,Scott,,PARKS,12,4,46,11,46,4,16,7,85,92,20
"Scott,TOMLINSON/TATE",,Scott,,TOMLINSON/TATE,14,10,91,24,83,6,22,11,291,308,38
"Searcy,Bear Creek #4",,Searcy,,Bear Creek #4,47,15,297,47,297,10,52,14,272,293,45
"Searcy,Bear Creek #5",,Searcy,,Bear Creek #5,57,20,291,66,287,13,71,5,284,307,22
"Searcy,Bear Creek #6",,Searcy,,Bear Creek #6,34,13,288,45,283,8,41,3,82,86,32
"Searcy,Calf Creek",,Searcy,,Calf Creek,34,14,81,33,86,5,37,7,159,162,15
"Searcy,Long Creek",,Searcy,,Long Creek,13,9,160,14,162,5,14,15,143,154,36
"Searcy,Mt. Pleasant",,Searcy,,Mt. Pleasant,26,10,159,31,153,10,33,3,124,128,24
"Searcy,Oxley",,Searcy,,Oxley,34,6,124,28,131,1,33,2,144,159,9
"Searcy,Prairie",,Searcy,,Prairie,26,6,140,23,146,2,25,4,66,72,19
"Searcy,Red River",,Searcy,,Red River,25,5,69,25,73,2,27,6,148,158,26
"Searcy,Rock Creek",,Searcy,,Rock Creek,24,9,158,29,158,5,33,2,40,45,15
"Searcy,Shady Grove",,Searcy,,Shady Grove,16,4,42,18,41,3,19,5,182,190,38
"Searcy,Spring",,Searcy,,Spring,58,6,184,56,182,9,56,3,80,84,20
"Searcy,St. Joe",,Searcy,,St. Joe,23,5,84,23,84,5,25,5,147,152,31
"Searcy,Tomahawk",,Searcy,,Tomahawk,32,11,149,39,149,4,40,18,270,296,70
"Searcy,Wiley's Cove",,Searcy,,Wiley's Cove,75,25,286,79,290,13,88,26,259,328,323
"Sebastian,1-A",,Sebastian,,1-A,320,32,311,355,268,40,376,8,117,135,79
"Sebastian,1-B",,Sebastian,,1-B,78,4,134,84,123,8,92,19,289,335,121
"Sebastian,1-C",,Sebastian,,1-C,122,15,324,149,293,17,150,21,417,477,117
"Sebastian,1-D",,Sebastian,,1-D,126,18,458,156,424,21,161,2,21,24,10
"Sebastian,1-E",,Sebastian,,1-E,10,2,24,12,22,2,13,10,116,137,72
"Sebastian,1-F",,Sebastian,,1-F,77,8,132,92,114,8,89,9,151,178,79
"Sebastian,1-G",,Sebastian,,1-G,87,8,170,99,156,8,104,25,200,248,207
"Sebastian,1-H",,Sebastian,,1-H,207,23,237,231,210,24,239,28,300,378,238
"Sebastian,1-I",,Sebastian,,1-I,252,28,350,270,324,32,297,5,17,19,8
"Sebastian,1-J",,Sebastian,,1-J,7,5,16,5,18,5,6,11,111,129,104
"Sebastian,1-K",,Sebastian,,1-K,111,11,120,122,114,7,118,22,190,231,130
"Sebastian,1-L",,Sebastian,,1-L,135,19,213,155,199,13,152,0,22,21,8
"Sebastian,1-M",,Sebastian,,1-M,5,0,24,8,21,0,7,20,177,220,245
"Sebastian,2-A",,Sebastian,,2-A,257,22,201,276,188,15,282,16,112,177,252
"Sebastian,2-B",,Sebastian,,2-B,272,7,164,296,131,14,314,11,78,88,78
"Sebastian,2-C",,Sebastian,,2-C,81,10,82,93,73,7,82,15,106,135,165
"Sebastian,2-D",,Sebastian,,2-D,166,14,130,172,124,14,188,12,169,228,166
"Sebastian,2-E",,Sebastian,,2-E,192,11,201,217,177,11,224,3,51,68,105
"Sebastian,2-F",,Sebastian,,2-F,105,4,71,119,55,6,126,8,44,60,66
"Sebastian,2-G",,Sebastian,,2-G,73,5,54,78,45,8,80,7,64,92,78
"Sebastian,2-H",,Sebastian,,2-H,80,6,86,96,65,11,101,18,164,191,119
"Sebastian,3-A",,Sebastian,,3-A,119,22,172,131,166,16,130,35,359,418,185
"Sebastian,3-B",,Sebastian,,3-B,186,29,398,215,363,34,217,10,129,147,58
"Sebastian,3-C",,Sebastian,,3-C,50,9,146,61,134,11,64,41,544,611,281
"Sebastian,3-D",,Sebastian,,3-D,281,39,584,306,561,36,315,31,603,675,220
"Sebastian,3-E",,Sebastian,,3-E,218,26,655,268,602,28,268,32,385,448,175
"Sebastian,3-F",,Sebastian,,3-F,178,25,428,213,395,24,216,26,546,615,154
"Sebastian,3-G",,Sebastian,,3-G,176,27,582,205,555,26,210,33,791,879,230
"Sebastian,3-H",,Sebastian,,3-H,248,38,840,279,800,41,297,2,97,109,27
"Sebastian,3-I",,Sebastian,,3-I,24,7,106,36,98,3,36,1,69,78,12
"Sebastian,3-J",,Sebastian,,3-J,19,0,76,21,70,2,24,0,38,45,10
"Sebastian,3-K",,Sebastian,,3-K,11,1,43,15,39,1,17,0,2,2,0
"Sebastian,3-L",,Sebastian,,3-L,0,0,2,0,2,0,0,0,0,0,0
"Sebastian,3-M",,Sebastian,,3-M,0,0,0,0,0,0,0,0,0,0,0
"Sebastian,3-N",,Sebastian,,3-N,0,0,0,0,0,0,0,9,449,496,58
"Sebastian,3-O",,Sebastian,,3-O,68,8,483,90,461,7,96,12,260,305,83
"Sebastian,4-A",,Sebastian,,4-A,95,10,292,128,258,11,124,22,327,385,164
"Sebastian,4-B",,Sebastian,,4-B,167,13,382,204,343,17,212,65,938,1079,464
"Sebastian,4-C",,Sebastian,,4-C,469,52,1042,560,952,56,556,28,590,685,183
"Sebastian,4-D",,Sebastian,,4-D,199,21,658,238,609,32,253,16,313,354,159
"Sebastian,4-E",,Sebastian,,4-E,168,7,348,195,311,17,193,13,224,265,92
"Sebastian,4-F",,Sebastian,,4-F,101,14,249,116,231,17,126,47,917,1063,318
"Sebastian,4-G",,Sebastian,,4-G,316,47,1031,384,957,47,421,15,338,388,127
"Sebastian,4-H",,Sebastian,,4-H,146,15,363,163,349,11,168,14,280,329,100
"Sebastian,4-I",,Sebastian,,4-I,117,10,306,139,281,12,139,0,8,8,0
"Sebastian,4-J",,Sebastian,,4-J,0,0,8,0,8,0,0,27,505,582,150
"Sebastian,4-K",,Sebastian,,4-K,166,19,558,211,506,23,210,9,100,111,44
"Sebastian,4-L",,Sebastian,,4-L,43,7,111,51,103,7,51,0,2,2,0
"Sebastian,4-M",,Sebastian,,4-M,0,0,2,0,2,0,0,21,283,317,138
"Sebastian,4-N",,Sebastian,,4-N,136,12,319,151,295,18,159,4,72,80,12
"Sebastian,9-1A",,Sebastian,,9-1A,12,1,81,16,77,1,17,10,166,175,30
"Sebastian,9-1B",,Sebastian,,9-1B,20,11,173,21,171,12,29,17,244,258,60
"Sebastian,9-1C",,Sebastian,,9-1C,52,11,259,58,252,12,61,12,562,600,95
"Sebastian,9-1D",,Sebastian,,9-1D,82,20,596,110,572,16,121,5,445,473,47
"Sebastian,9-1E",,Sebastian,,9-1E,58,10,455,67,449,9,73,1,29,35,11
"Sebastian,9-1F",,Sebastian,,9-1F,10,0,35,12,33,1,14,5,59,61,13
"Sebastian,9-1G",,Sebastian,,9-1G,12,3,58,11,60,3,10,4,61,68,15
"Sebastian,9-1H",,Sebastian,,9-1H,16,1,67,18,65,1,19,5,243,262,64
"Sebastian,9-1I",,Sebastian,,9-1I,71,3,260,86,238,9,84,8,166,176,60
"Sebastian,9-1K",,Sebastian,,9-1K,63,9,174,65,167,14,71,0,5,5,0
"Sebastian,9-1M",,Sebastian,,9-1M,0,0,5,0,5,0,0,4,143,151,17
"Sebastian,9-1N",,Sebastian,,9-1N,21,8,138,25,137,6,21,1,77,80,7
"Sebastian,9-1O",,Sebastian,,9-1O,9,1,77,11,77,0,10,33,830,903,161
"Sebastian,9-2A",,Sebastian,,9-2A,157,20,896,199,842,30,207,8,182,197,43
"Sebastian,9-2B",,Sebastian,,9-2B,36,8,194,47,186,5,50,26,817,873,152
"Sebastian,9-2C",,Sebastian,,9-2C,140,31,862,171,829,32,186,6,112,122,16
"Sebastian,9-2D",,Sebastian,,9-2D,12,4,122,15,117,6,20,0,13,13,2
"Sebastian,9-2E",,Sebastian,,9-2E,3,1,11,2,13,0,2,8,182,196,31
"Sebastian,9-2F",,Sebastian,,9-2F,24,7,196,36,187,4,36,5,153,159,34
"Sebastian,9-2G",,Sebastian,,9-2G,31,4,157,32,157,3,34,2,47,50,13
"Sebastian,9-2H",,Sebastian,,9-2H,13,3,48,15,46,2,14,2,56,65,11
"Sebastian,9-2I",,Sebastian,,9-2I,12,3,61,20,57,1,20,0,8,8,0
"Sebastian,9-2J",,Sebastian,,9-2J,0,0,8,0,8,0,0,2,104,110,23
"Sebastian,9-2K",,Sebastian,,9-2K,24,5,105,30,101,3,27,4,109,113,12
"Sebastian,9-2L",,Sebastian,,9-2L,9,4,112,11,109,5,12,0,0,0,0
"Sebastian,9-2M",,Sebastian,,9-2M,0,0,0,0,0,0,0,7,120,133,29
"Sebastian,9-3A",,Sebastian,,9-3A,23,3,136,30,127,6,35,9,300,313,53
"Sebastian,9-3B",,Sebastian,,9-3B,49,10,308,60,299,9,59,15,218,238,65
"Sebastian,9-3C",,Sebastian,,9-3C,70,18,218,71,223,14,74,1,46,51,5
"Sebastian,9-3D",,Sebastian,,9-3D,5,2,49,9,46,2,9,3,139,151,39
"Sebastian,9-3E",,Sebastian,,9-3E,40,3,147,47,143,3,50,8,251,266,36
"Sebastian,9-3F",,Sebastian,,9-3F,40,8,254,38,259,5,42,1,79,85,17
"Sebastian,9-3G",,Sebastian,,9-3G,18,4,80,21,80,2,22,3,120,122,13
"Sebastian,9-3H",,Sebastian,,9-3H,8,6,121,9,121,4,12,2,170,183,16
"Sebastian,9-3I",,Sebastian,,9-3I,12,4,185,21,177,3,26,7,217,229,33
"Sebastian,9-3J",,Sebastian,,9-3J,28,10,224,31,226,5,38,5,117,124,33
"Sebastian,9-3K",,Sebastian,,9-3K,28,3,129,34,121,4,38,3,105,111,30
"Sebastian,9-3L",,Sebastian,,9-3L,25,4,111,31,106,4,33,1,44,51,17
"Sebastian,9-3M",,Sebastian,,9-3M,19,1,48,20,47,1,23,2,43,45,4
"Sebastian,9-3N",,Sebastian,,9-3N,5,0,45,3,45,2,5,3,69,69,12
"Sebastian,9-3O",,Sebastian,,9-3O,10,3,68,11,69,1,9,3,74,75,20
"Sebastian,9-3P",,Sebastian,,9-3P,15,3,77,20,71,4,18,1,53,56,11
"Sebastian,9-4A",,Sebastian,,9-4A,12,1,54,12,52,3,13,20,576,599,96
"Sebastian,9-4B",,Sebastian,,9-4B,85,22,590,96,587,15,98,23,655,708,116
"Sebastian,9-4C",,Sebastian,,9-4C,124,13,692,146,662,24,151,2,51,58,11
"Sebastian,9-4D",,Sebastian,,9-4D,12,1,54,17,52,0,15,1,49,53,8
"Sebastian,9-4E",,Sebastian,,9-4E,7,4,50,9,50,2,10,0,14,13,2
"Sebastian,9-4F",,Sebastian,,9-4F,0,0,15,1,14,0,1,3,47,50,12
"Sebastian,9-4G",,Sebastian,,9-4G,12,2,49,14,48,1,13,5,109,125,25
"Sebastian,9-4H",,Sebastian,,9-4H,27,4,119,35,113,3,35,11,277,300,58
"Sebastian,9-4I",,Sebastian,,9-4I,60,10,295,71,285,9,76,2,26,27,7
"Sebastian,9-4J",,Sebastian,,9-4J,5,5,24,7,25,2,6,12,316,342,73
"Sebastian,9-4K",,Sebastian,,9-4K,67,18,336,85,321,11,88,0,0,0,0
"Sebastian,9-4L",,Sebastian,,9-4L,0,0,0,0,0,0,0,0,9,10,6
"Sebastian,9-5A",,Sebastian,,9-5A,5,1,11,9,8,0,8,0,5,6,2
"Sebastian,9-5B",,Sebastian,,9-5B,2,0,6,2,6,0,3,0,9,9,4
"Sebastian,9-6A",,Sebastian,,9-6A,4,0,10,4,9,0,4,1,66,68,9
"Sebastian,9-6B",,Sebastian,,9-6B,7,2,69,8,65,5,11,0,1,3,0
"Sebastian,9-6C",,Sebastian,,9-6C,1,0,2,1,2,0,2,7,138,151,51
"Sebastian,9-J",,Sebastian,,9-J,50,11,146,61,139,8,63,12,207,235,87
"Sebastian,9-L",,Sebastian,,9-L,90,10,227,99,216,11,107,4,116,124,12
"Sevier,Bear Creek East",,Sevier,,Bear Creek East,17,3,120,19,117,4,19,13,287,318,55
"Sevier,Bear Creek West",,Sevier,,Bear Creek West,64,12,299,73,293,10,75,0,53,57,12
"Sevier,Ben Lomond",,Sevier,,Ben Lomond,12,1,57,19,50,1,16,3,139,141,19
"Sevier,Clear Creek 1",,Sevier,,Clear Creek 1,17,10,133,17,137,6,18,18,331,356,89
"Sevier,Clear Creek 2",,Sevier,,Clear Creek 2,91,21,339,104,330,16,102,10,197,233,45
"Sevier,DQ Northwest",,Sevier,,DQ Northwest,64,8,213,78,196,11,77,4,73,87,42
"Sevier,De Queen East",,Sevier,,De Queen East,49,9,73,50,78,4,52,6,86,103,40
"Sevier,De Queen North Central",,Sevier,,De Queen North Central,45,2,98,54,85,5,51,8,102,122,87
"Sevier,De Queen Southwest",,Sevier,,De Queen Southwest,98,15,106,107,99,12,109,2,31,33,3
"Sevier,Jefferson",,Sevier,,Jefferson,6,1,29,7,29,0,3,7,201,213,41
"Sevier,Mineral",,Sevier,,Mineral,49,11,195,49,196,9,47,5,200,218,36
"Sevier,Monroe",,Sevier,,Monroe,43,6,205,52,200,6,52,1,103,107,20
"Sevier,Paraclifta",,Sevier,,Paraclifta,22,2,102,24,103,1,24,3,296,323,44
"Sevier,Red Colony",,Sevier,,Red Colony,56,6,305,71,295,3,70,0,33,35,3
"Sevier,Saline East",,Sevier,,Saline East,4,0,34,6,32,0,5,0,26,26,6
"Sevier,Saline West",,Sevier,,Saline West,6,0,26,6,26,0,6,2,73,79,38
"Sevier,Washington",,Sevier,,Washington,39,1,78,45,72,1,42,1,99,105,14
"Sharp,Big Creek",,Sharp,,Big Creek,14,3,103,16,103,1,20,19,493,537,84
"Sharp,Cave",,Sharp,,Cave,101,25,504,105,511,14,116,54,1015,1128,330
"Sharp,Cherokee",,Sharp,,Cherokee,325,52,1092,382,1037,50,400,1,64,71,9
"Sharp,Davidson",,Sharp,,Davidson,13,1,66,14,65,1,15,0,115,115,10
"Sharp,East Sullivan",,Sharp,,East Sullivan,10,3,111,13,110,1,10,15,296,334,108
"Sharp,Hardy",,Sharp,,Hardy,98,9,336,121,304,15,131,11,357,386,69
"Sharp,Highland",,Sharp,,Highland,87,18,357,92,358,11,92,4,75,79,23
"Sharp,Jackson",,Sharp,,Jackson,21,5,79,23,79,3,25,1,102,104,19
"Sharp,Lave Creek",,Sharp,,Lave Creek,17,2,104,19,102,2,19,6,139,148,23
"Sharp,Lower North",,Sharp,,Lower North,14,6,151,22,146,3,27,3,47,56,9
"Sharp,Morgan",,Sharp,,Morgan,12,2,50,13,51,1,14,0,38,40,9
"Sharp,North Big Rock",,Sharp,,North Big Rock,10,3,38,13,39,0,14,0,10,8,3
"Sharp,North Lebanon",,Sharp,,North Lebanon,3,0,10,3,10,0,3,2,35,41,7
"Sharp,North Union",,Sharp,,North Union,4,1,43,6,39,3,11,3,139,149,32
"Sharp,Ozark",,Sharp,,Ozark,34,10,137,42,134,6,41,11,253,280,44
"Sharp,Piney Fork",,Sharp,,Piney Fork,48,10,269,56,265,6,63,14,427,485,100
"Sharp,Richwood",,Sharp,,Richwood,112,25,459,137,442,11,154,3,91,96,13
"Sharp,Scott",,Sharp,,Scott,13,4,93,15,93,2,16,2,46,55,8
"Sharp,South Big Rock",,Sharp,,South Big Rock,13,4,46,15,44,3,15,0,29,29,9
"Sharp,South Lebanon",,Sharp,,South Lebanon,10,0,30,12,28,0,11,3,62,68,20
"Sharp,South Union",,Sharp,,South Union,17,4,67,18,67,3,23,0,51,56,8
"Sharp,Strawberry",,Sharp,,Strawberry,9,1,55,11,55,0,15,4,58,66,19
"Sharp,Upper North",,Sharp,,Upper North,19,3,63,23,60,3,23,2,49,55,6
"Sharp,Washington",,Sharp,,Washington,6,4,51,8,52,1,9,6,113,118,32
"Sharp,West Sullivan",,Sharp,,West Sullivan,28,7,116,31,117,3,33,4,211,230,52
"St Francis,Bonair",,St. Francis,,Bonair,66,8,214,72,211,6,77,2,153,156,42
"St Francis,Caldwell",,St. Francis,,Caldwell,46,5,151,48,154,1,49,2,232,263,109
"St Francis,Colt",,St. Francis,,Colt,145,8,242,158,238,2,160,17,42,115,358
"St Francis,FC Ward 1",,St. Francis,,FC Ward 1,487,12,62,504,43,13,504,25,61,176,442
"St Francis,FC Ward 2",,St. Francis,,FC Ward 2,565,17,98,594,71,18,598,20,298,405,300
"St Francis,FC Ward 3",,St. Francis,,FC Ward 3,402,15,334,406,326,15,426,11,253,332,264
"St Francis,FC Ward 4",,St. Francis,,FC Ward 4,329,12,291,347,269,11,367,0,57,61,43
"St Francis,Forrest City Country West",,St. Francis,,Forrest City Country West,61,1,54,57,56,0,58,1,74,86,31
"St Francis,Heth/Blackfish",,St. Francis,,Heth/Blackfish,42,2,78,50,71,2,48,20,143,189,280
"St Francis,Hughes",,St. Francis,,Hughes,335,18,145,352,140,9,337,6,23,68,131
"St Francis,Madison",,St. Francis,,Madison,190,6,37,198,26,5,200,6,551,579,86
"St Francis,Newcastle/Parrott",,St. Francis,,Newcastle/Parrott,112,16,548,123,547,12,125,4,261,276,97
"St Francis,Palestine",,St. Francis,,Palestine,133,7,260,139,260,3,137,5,80,95,22
"St Francis,Wheatley",,St. Francis,,Wheatley,38,3,84,40,80,5,40,5,57,67,48
"St Francis,Widener",,St. Francis,,Widener,68,2,62,69,58,3,68,2,23,29,11
"Stone,Angora Mountain",,Stone,,Angora Mountain,15,4,23,15,22,4,16,8,154,167,49
"Stone,Arbanna",,Stone,,Arbanna,64,5,151,58,157,7,58,0,72,76,4
"Stone, Ben",,Stone,,Ben,7,2,84,4,88,1,8,5,160,180,29
"Stone,Bethany",,Stone,,Bethany,38,18,149,41,153,9,46,12,253,278,64
"Stone,Dodd Mountain",,Stone,,Dodd Mountain,77,12,264,80,264,7,85,4,125,138,17
"Stone,East Out",,Stone,,East Out,22,4,131,23,132,2,28,13,421,457,86
"Stone,Foothills",,Stone,,Foothills,99,17,444,112,437,9,120,13,274,304,89
"Stone,Fox",,Stone,,Fox,113,20,283,124,283,12,124,3,76,82,15
"Stone,Liberty",,Stone,,Liberty,13,6,78,13,79,5,18,1,107,115,32
"Stone,Northeast",,Stone,,Northeast,34,4,110,36,111,1,39,6,156,170,35
"Stone,Northwest",,Stone,,Northwest,36,8,162,38,163,7,45,0,29,31,6
"Stone,Old Lexington",,Stone,,Old Lexington,6,3,28,11,26,0,8,11,236,261,48
"Stone,Pleasant Grove",,Stone,,Pleasant Grove,68,12,241,71,244,5,71,14,270,314,94
"Stone,Red Doors",,Stone,,Red Doors,118,20,287,122,294,11,137,9,303,328,69
"Stone,Ward 1",,Stone,,Ward 1,65,16,328,77,323,10,92,12,192,230,50
"Stone,Ward 2",,Stone,,Ward 2,70,8,219,78,207,10,84,17,199,229,68
"Stone,Ward 3",,Stone,,Ward 3,82,16,209,88,210,11,88,6,108,124,28
