,COUNTYFP,precinct,shp_loc_prec,STATEFP,VTDST,NAMELSAD,VTDI,LSAD,CHNG_TYPE,ORIG_NAME,ORIG_CODE,RELATE,NAME,VINTAGE,FUNCSTAT,JUSTIFY,MTFCC,prec_matching,prec_word1,shp_loc_prec_nums,shp_loc_prec_code
4901,029,berkeley township ward 4 voting district 14,"029,berkeley township ward 4 voting district 14",34,025414,Berkeley township ward 4 voting district 14,A,00,,,,,Berkeley township ward 4 voting district 14,90,N,,G5240,berkeley township ward 4 voting district 14,berkeley,029414,029414_berkeley
4902,029,berkeley township ward 4 voting district 12,"029,berkeley township ward 4 voting district 12",34,025412,Berkeley township ward 4 voting district 12,A,00,,,,,Berkeley township ward 4 voting district 12,90,N,,G5240,berkeley township ward 4 voting district 12,berkeley,029412,029412_berkeley
4903,029,berkeley township ward 4 voting district 25,"029,berkeley township ward 4 voting district 25",34,025425,Berkeley township ward 4 voting district 25,A,00,,,,,Berkeley township ward 4 voting district 25,90,N,,G5240,berkeley township ward 4 voting district 25,berkeley,029425,029425_berkeley
4904,029,berkeley township ward 4 voting district 10,"029,berkeley township ward 4 voting district 10",34,025410,Berkeley township ward 4 voting district 10,A,00,,,,,Berkeley township ward 4 voting district 10,90,N,,G5240,berkeley township ward 4 voting district 10,berkeley,029410,029410_berkeley
4905,029,brick township voting district 19,"029,brick township voting district 19",34,030019,Brick township voting district 19,A,00,,,,,Brick township voting district 19,90,N,,G5240,brick township voting district 19,brick,02919,02919_brick
4906,029,brick township voting district 20,"029,brick township voting district 20",34,030020,Brick township voting district 20,A,00,,,,,Brick township voting district 20,90,N,,G5240,brick township voting district 20,brick,02920,02920_brick
4907,029,brick township voting district 39,"029,brick township voting district 39",34,030039,Brick township voting district 39,A,00,,,,,Brick township voting district 39,90,N,,G5240,brick township voting district 39,brick,02939,02939_brick
4908,029,brick township voting district 38,"029,brick township voting district 38",34,030038,Brick township voting district 38,P,00,,,,,Brick township voting district 38,90,S,,G5240,brick township voting district 38,brick,02938,02938_brick
4909,029,brick township voting district 37,"029,brick township voting district 37",34,030037,Brick township voting district 37,P,00,,,,,Brick township voting district 37,90,S,,G5240,brick township voting district 37,brick,02937,02937_brick
4910,029,brick township voting district 36,"029,brick township voting district 36",34,030036,Brick township voting district 36,P,00,,,,,Brick township voting district 36,90,S,,G5240,brick township voting district 36,brick,02936,02936_brick
4911,029,brick township voting district 35,"029,brick township voting district 35",34,030035,Brick township voting district 35,P,00,,,,,Brick township voting district 35,90,S,,G5240,brick township voting district 35,brick,02935,02935_brick
4912,029,brick township voting district 34,"029,brick township voting district 34",34,030034,Brick township voting district 34,P,00,,,,,Brick township voting district 34,90,S,,G5240,brick township voting district 34,brick,02934,02934_brick
4913,029,brick township voting district 33,"029,brick township voting district 33",34,030033,Brick township voting district 33,P,00,,,,,Brick township voting district 33,90,S,,G5240,brick township voting district 33,brick,02933,02933_brick
4914,029,brick township voting district 32,"029,brick township voting district 32",34,030032,Brick township voting district 32,P,00,,,,,Brick township voting district 32,90,S,,G5240,brick township voting district 32,brick,02932,02932_brick
4915,029,brick township voting district 31,"029,brick township voting district 31",34,030031,Brick township voting district 31,P,00,,,,,Brick township voting district 31,90,S,,G5240,brick township voting district 31,brick,02931,02931_brick
4916,029,brick township voting district 2,"029,brick township voting district 2",34,030002,Brick township voting district 2,A,00,,,,,Brick township voting district 2,90,N,,G5240,brick township voting district 2,brick,0292,0292_brick
4917,029,brick township voting district 30,"029,brick township voting district 30",34,030030,Brick township voting district 30,P,00,,,,,Brick township voting district 30,90,S,,G5240,brick township voting district 30,brick,02930,02930_brick
4918,029,brick township voting district 29,"029,brick township voting district 29",34,030029,Brick township voting district 29,P,00,,,,,Brick township voting district 29,90,S,,G5240,brick township voting district 29,brick,02929,02929_brick
4919,029,brick township voting district 28,"029,brick township voting district 28",34,030028,Brick township voting district 28,P,00,,,,,Brick township voting district 28,90,S,,G5240,brick township voting district 28,brick,02928,02928_brick
4920,029,brick township voting district 27,"029,brick township voting district 27",34,030027,Brick township voting district 27,P,00,,,,,Brick township voting district 27,90,S,,G5240,brick township voting district 27,brick,02927,02927_brick
4921,029,brick township voting district 26,"029,brick township voting district 26",34,030026,Brick township voting district 26,A,00,,,,,Brick township voting district 26,90,N,,G5240,brick township voting district 26,brick,02926,02926_brick
4922,029,brick township voting district 25,"029,brick township voting district 25",34,030025,Brick township voting district 25,A,00,,,,,Brick township voting district 25,90,N,,G5240,brick township voting district 25,brick,02925,02925_brick
4923,029,brick township voting district 24,"029,brick township voting district 24",34,030024,Brick township voting district 24,A,00,,,,,Brick township voting district 24,90,N,,G5240,brick township voting district 24,brick,02924,02924_brick
4924,029,brick township voting district 23,"029,brick township voting district 23",34,030023,Brick township voting district 23,A,00,,,,,Brick township voting district 23,90,N,,G5240,brick township voting district 23,brick,02923,02923_brick
4925,029,brick township voting district 22,"029,brick township voting district 22",34,030022,Brick township voting district 22,P,00,,,,,Brick township voting district 22,90,S,,G5240,brick township voting district 22,brick,02922,02922_brick
4926,029,brick township voting district 21,"029,brick township voting district 21",34,030021,Brick township voting district 21,A,00,,,,,Brick township voting district 21,90,N,,G5240,brick township voting district 21,brick,02921,02921_brick
4927,029,brick township voting district 3,"029,brick township voting district 3",34,030003,Brick township voting district 3,P,00,,,,,Brick township voting district 3,90,S,,G5240,brick township voting district 3,brick,0293,0293_brick
4928,029,brick township voting district 4,"029,brick township voting district 4",34,030004,Brick township voting district 4,A,00,,,,,Brick township voting district 4,90,N,,G5240,brick township voting district 4,brick,0294,0294_brick
4929,029,berkeley township ward 3 voting district 8,"029,berkeley township ward 3 voting district 8",34,025308,Berkeley township ward 3 voting district 8,A,00,,,,,Berkeley township ward 3 voting district 8,90,N,,G5240,berkeley township ward 3 voting district 8,berkeley,02938,02938_berkeley
4930,029,berkeley township ward 3 voting district 31,"029,berkeley township ward 3 voting district 31",34,025331,Berkeley township ward 3 voting district 31,A,00,,,,,Berkeley township ward 3 voting district 31,90,N,,G5240,berkeley township ward 3 voting district 31,berkeley,029331,029331_berkeley
4931,029,beachwood borough voting district 4,"029,beachwood borough voting district 4",34,020004,Beachwood borough voting district 4,A,00,,,,,Beachwood borough voting district 4,90,N,,G5240,beachwood borough voting district 4,beachwood,0294,0294_beachwood
4932,029,beachwood borough voting district 3,"029,beachwood borough voting district 3",34,020003,Beachwood borough voting district 3,A,00,,,,,Beachwood borough voting district 3,90,N,,G5240,beachwood borough voting district 3,beachwood,0293,0293_beachwood
4933,029,beachwood borough voting district 2,"029,beachwood borough voting district 2",34,020002,Beachwood borough voting district 2,A,00,,,,,Beachwood borough voting district 2,90,N,,G5240,beachwood borough voting district 2,beachwood,0292,0292_beachwood
4934,029,beachwood borough voting district 1,"029,beachwood borough voting district 1",34,020001,Beachwood borough voting district 1,A,00,,,,,Beachwood borough voting district 1,90,N,,G5240,beachwood borough voting district 1,beachwood,0291,0291_beachwood
4935,029,beach haven borough voting district 1,"029,beach haven borough voting district 1",34,015001,Beach Haven borough voting district 1,A,00,,,,,Beach Haven borough voting district 1,90,N,,G5240,beach haven borough voting district 1,beach,0291,0291_beach
4936,029,bay head borough voting district 1,"029,bay head borough voting district 1",34,010001,Bay Head borough voting district 1,A,00,,,,,Bay Head borough voting district 1,90,N,,G5240,bay head borough voting district 1,bay,0291,0291_bay
4937,029,barnegat township voting district 9,"029,barnegat township voting district 9",34,003009,Barnegat township voting district 9,A,00,,,,,Barnegat township voting district 9,90,N,,G5240,barnegat township voting district 9,barnegat,0299,0299_barnegat
4938,029,barnegat township voting district 8,"029,barnegat township voting district 8",34,003008,Barnegat township voting district 8,A,00,,,,,Barnegat township voting district 8,90,N,,G5240,barnegat township voting district 8,barnegat,0298,0298_barnegat
